europe;Europe;Europe;Europa;Europa;Europa;europa;európa;Evropa;;;;;;x
asia;Asia;Asie;Asien;Azja;Asia;asia;ázsia;Asie;;;;;;x
africa;Africa;Afrique;Afrika;Afryka;África;africa;afrika;Afrika;;;;;;x
north_america;North America;Nord Amérique;Nordamerika;Ameryka P³n.;Norteamérica;nord america;észak-amerika;Severní Amerika;;;;;;x
south_america;South America;Sud Amérique;Südamerika;Ameryka P³d.;Sudamérica;south_america;dél-amerika;Jižní Amerika;;;;;;x
oceania;Oceania;Océanie;Ozeanien;Oceania;Oceanía;oceania;óceánia;Oceánie;;;;;;x
PROV1;Porsangerhalvoya;Porsangerhalvoya;Porsangerhalvoya;;Porsangerhalvoya;;;;;;;;;x
PROV2;Repvåg;Repvåg;Repvåg;;Repvåg;;;;;;;;;x
PROV3;Veldnes;Veldnes;Veldnes;;Veldnes;;;;;;;;;x
PROV4;Nordkynhalvoya;Nordkynhalvoya;Nordkynhalvoya;;Nordkynhalvoya;;;;;;;;;x
PROV5;Skaidi;Skaidi;Skaidi;;Skaidi;;;;;;;;;x
PROV6;Borselv;Borselv;Borselv;;Borselv;;;;;;;;;x
PROV7;Storfjordbotn;Storfjordbotn;Storfjordbotn;;Storfjordbotn;;;;;;;;;x
PROV8;Båtsfjord;Båtsfjord;Båtsfjord;;Båtsfjord;;;;;;;;;x
PROV9;Tromso;Tromso;Tromso;;Tromso;;;;;;;;;x
PROV10;Storslett;Storslett;Storslett;;Storslett;;;;;;;;;x
PROV11;Alta;Alta;Alta;;Alta;;;;;;;;;x
PROV12;Lakselv;Lakselv;Lakselv;;Lakselv;;;;;;;;;x
PROV13;Rastegai'sa;Rastegai'sa;Rastegaisa;;Rastegai'sa;;;;;;;;;x
PROV14;Båteng;Båteng;Båteng;;Båteng;;;;;;;;;x
PROV15;Kroknes;Kroknes;Kroknes;;Kroknes;;;;;;;;;x
PROV16;Målsnes;Målsnes;Målsnes;;Målsnes;;;;;;;;;x
PROV17;Skibotn;Skibotn;Skibotn;;Skibotn;;;;;;;;;x
PROV18;Altaelva;Altaelva;Altaelva;;Altaelva;;;;;;;;;x
PROV19;Jiesjávri;Jiesjávri;Jiesjávri;;Jiesjávri;;;;;;;;;x
PROV20;Skoganvarre;Skoganvarre;Skoganvarre;;Skoganvarre;;;;;;;;;x
PROV21;Finnmark;Finnmark;Finnmark;;Finnmark;;;;;;;;;x
PROV22;Polmak;Polmak;Polmak;;Polmak;;;;;;;;;x
PROV23;Kirkenes;Kirkenes;Kirkenes;;Kirkenes;;;;;;;;;x
PROV24;Senja;Senja;Senja;;Senja;;;;;;;;;x
PROV25;Nordkjosbotn;Nordkjosbotn;Nordkjosbotn;;Nordkjosbotn;;;;;;;;;x
PROV26;Mieron;Mieron;Mieron;;Mieron;;;;;;;;;x
PROV27;Masi;Masi;Masi;;Masi;;;;;;;;;x
PROV28;Tenojoki;Tenojoki;Tenojoki;;Tenojoki;;;;;;;;;x
PROV29;Laevvajåk;Laevvajåk;Laevvajåk;;Laevvajåk;;;;;;;;;x
PROV30;Outakoski;Outakoski;Outakoski;;Outakoski;;;;;;;;;x
PROV31;Utsjoki;Utsjoki;Utsjoki;;Utsjoki;;;;;;;;;x
PROV32;Kalastajansaarento;Kalastajansaarento;Kalastajansaarento;;Kalastajansaarento;;;;;;;;;x
PROV33;Petsamo;Petsamo;Petsamo;;Petsamo;;;;;;;;;x
PROV34;Severomorsk;Severomorsk;Seweromorsk;;Severomorsk;;;;;;;;;x
PROV35;Teriberka;Teriberka;Teriberka;;Teriberka;;;;;;;;;x
PROV36;Tennevoll;Tennevoll;Tennevoll;;Tennevoll;;;;;;;;;x
PROV37;Setermoen;Setermoen;Setermoen;;Setermoen;;;;;;;;;x
PROV38;Helligskogen;Helligskogen;Helligskogen;;Helligskogen;;;;;;;;;x
PROV39;Rophi;Rophi;Rophi;;Rophi;;;;;;;;;x
PROV40;Kilpisjärvi;Kilpisjärvi;Kilpisjärvi;;Kilpisjärvi;;;;;;;;;x
PROV41;Kárásjohka;Kárásjohka;Kárásjohka;;Kárásjohka;;;;;;;;;x
PROV42;Jårgastak;Jårgastak;Jårgastak;;Jårgastak;;;;;;;;;x
PROV43;Partakko;Partakko;Partakko;;Partakko;;;;;;;;;x
PROV44;Ovre Pasvik;Ovre Pasvik;Ovre Pasvik;;Ovre Pasvik;;;;;;;;;x
PROV45;Vaalesjoki;Vaalesjoki;Vaalesjoki;;Vaalesjoki;;;;;;;;;x
PROV46;Murmansk;Mourmansk;Murmansk;;Múrmansk;;;;;;;;;x
PROV47;Verrkne-teriberskoye;Verrkne-teriberskoye;Verrkne-teriberskoye;;Verrkne-teriberskoye;;;;;;;;;x
PROV48;Dal'nie Zelency;Dal'nie Zelency;Dalnie Zelency;;Dal'nie Zelency;;;;;;;;;x
PROV49;Hinnoya;Hinnoya;Hinnoya;;Hinnoya;;;;;;;;;x
PROV50;Curaçao;Curaçao;Curaçao;;Curazao;;;;;;;;;x
PROV51;Kaisepakte;Kaisepakte;Kaisepakte;;Kaisepakte;;;;;;;;;x
PROV52;Råstätno;Råstätno;Råstätno;;Råstätno;;;;;;;;;x
PROV53;Karesuando;Karesuando;Karesuando;;Karesuando;;;;;;;;;x
PROV54;Enontekiö;Enontekiö;Enontekiö;;Enontekiö;;;;;;;;;x
PROV55;Porrastunturi;Porrastunturi;Porrastunturi;;Porrastunturi;;;;;;;;;x
PROV56;Inari;Inari;Inari;;Inari;;;;;;;;;x
PROV57;Sevettijärvi;Sevettijärvi;Sevettijärvi;;Sevettijärvi;;;;;;;;;x
PROV58;Nautsi;Nautsi;Nautsi;;Nautsi;;;;;;;;;x
PROV59;Kola;Kola;Kola;;Kola;;;;;;;;;x
PROV60;Songuj;Songuj;Songuj;;Songuj;;;;;;;;;x
PROV61;Perkh'yavr;Perkh'yavr;Perkhyavr;;Perkh'yavr;;;;;;;;;x
PROV62;Zahrebetnoe;Zahrebetnoe;Zahrebetnoe;;Zahrebetnoe;;;;;;;;;x
PROV63;Harlovka;Harlovka;Harlovka;;Harlovka;;;;;;;;;x
PROV64;Varzino;Varzino;Varzino;;Varzino;;;;;;;;;x
PROV65;Narvik;Narvik;Narvik;;Narvik;;;;;;;;;x
PROV66;Björkstugan;Björkstugan;Björkstugan;;Björkstugan;;;;;;;;;x
PROV67;Kiruna;Kiruna;Kiruna;;Kiruna;;;;;;;;;x
PROV68;Nedre Soppero;Nedre Soppero;Nedre Soppero;;Nedre Soppero;;;;;;;;;x
PROV69;Nunasvaara;Nunasvaara;Nunasvaara;;Nunasvaara;;;;;;;;;x
PROV70;Lisma;Lisma;Lisma;;Lisma;;;;;;;;;x
PROV71;Korsa;Korsa;Korsa;;Korsa;;;;;;;;;x
PROV72;Paatsjoki;Paatsjoki;Paatsjoki;;Paatsjoki;;;;;;;;;x
PROV73;Verhnetulomskij;Verhnetulomskij;Verhnetulomskij;;Verhnetulomskij;;;;;;;;;x
PROV74;Tajbola;Tajbola;Tajbola;;Tajbola;;;;;;;;;x
PROV75;Olenegorsk;Olenegorsk;Olenegorsk;;Olenegorsk;;;;;;;;;x
PROV76;Lovozero;Lovozero;Lovozero;;Lovozero;;;;;;;;;x
PROV77;Trufanova;Trufanova;Trufanova;;Trufanova;;;;;;;;;x
PROV78;Iokanga;Iokanga;Iokanga;;Iokanga;;;;;;;;;x
PROV79;Mys Kanin Nos;Mys Kanin Nos;Mys Kanin Nos;;Mys Kanin Nos;;;;;;;;;x
PROV80;Bodo;Bodo;Bodo;;Bodo;;;;;;;;;x
PROV81;Bognes;Bognes;Bognes;;Bognes;;;;;;;;;x
PROV82;Alitåive;Alitåive;Alitåive;;Alitåive;;;;;;;;;x
PROV83;Sjaunja;Sjaunja;Sjaunja;;Sjaunja;;;;;;;;;x
PROV84;Vittangi;Vittangi;Vittangi;;Vittangi;;;;;;;;;x
PROV85;Lumivaara;Lumivaara;Lumivaara;;Lumivaara;;;;;;;;;x
PROV86;Tepasto;Tepasto;Tepasto;;Tepasto;;;;;;;;;x
PROV87;Pokka;Pokka;Pokka;;Pokka;;;;;;;;;x
PROV88;Kuttura;Kuttura;Kuttura;;Kuttura;;;;;;;;;x
PROV89;Ivalo;Ivalo;Ivalo;;Ivalo;;;;;;;;;x
PROV90;Suonikylä;Suonikylä;Suonikylä;;Suonikylä;;;;;;;;;x
PROV91;Laplandija;Laplandija;Laplandija;;Laplandija;;;;;;;;;x
PROV92;Murmanskaja;Murmanskaja;Murmanskaja;;Murmanskaja;;;;;;;;;x
PROV93;Revda;Revda;Revda;;Revda;;;;;;;;;x
PROV94;Polmos;Polmos;Polmos;;Polmos;;;;;;;;;x
PROV95;Telzoderskiy;Telzoderskiy;Telzoderskiy;;Telzoderskiy;;;;;;;;;x
PROV96;Sojna;Sojna;Sojna;;Sojna;;;;;;;;;x
PROV97;Kamenka;Kamenka;Kamenka;;Kamenka;;;;;;;;;x
PROV98;Fauske;Fauske;Fauske;;Fauske;;;;;;;;;x
PROV99;Ritsem;Ritsem;Ritsem;;Ritsem;;;;;;;;;x
PROV100;Suorva;Suorva;Suorva;;Suorva;;;;;;;;;x
PROV101;Fjällåsen;Fjällåsen;Fjällåsen;;Fjällåsen;;;;;;;;;x
PROV102;Parakka;Parakka;Parakka;;Parakka;;;;;;;;;x
PROV103;Muonio;Muonio;Muonio;;Muonio;;;;;;;;;x
PROV104;Kittilä;Kittilä;Kittilä;;Kittilä;;;;;;;;;x
PROV105;Jeesiö;Jeesiö;Jeesiö;;Jeesiö;;;;;;;;;x
PROV106;Saariselkä;SaaPlateau delkä;Saariselkä;;Saariselkä;;;;;;;;;x
PROV107;Korvatunturi;Korvatunturi;Korvatunturi;;Korvatunturi;;;;;;;;;x
PROV108;Laplandskij Zapovednik;Laplandskij Zapovednik;Laplandskij Zapovednik;;Laplandskij Zapovednik;;;;;;;;;x
PROV109;Moncegorsk;Moncegorsk;Moncegorsk;;Moncegorsk;;;;;;;;;x
PROV110;Kirovsk;Kirovsk;Kirovsk;;Kirovsk;;;;;;;;;x
PROV111;Motka;Motka;Motka;;Motka;;;;;;;;;x
PROV112;Kolmozero;Kolmozero;Kolmozero;;Kolmozero;;;;;;;;;x
PROV113;Kanevka;Kanevka;Kanevka;;Kanevka;;;;;;;;;x
PROV114;Gremiha;Gremiha;Gremiha;;Gremiha;;;;;;;;;x
PROV115;Lumbovka;Lumbovka;Lumbowka;;Lumbovka;;;;;;;;;x
PROV116;Moldjord;Moldjord;Moldjord;;Moldjord;;;;;;;;;x
PROV117;Sulitjelma;Sulitjelma;Sulitjelma;;Sulitjelma;;;;;;;;;x
PROV118;Kvikkjokk;Kvikkjokk;Kvikkjokk;;Kvikkjokk;;;;;;;;;x
PROV119;Tjaktjajaure;Tjaktjajaure;Tjaktjajaure;;Tjaktjajaure;;;;;;;;;x
PROV120;Gällivare;Gällivare;Gällivare;;Gällivare;;;;;;;;;x
PROV121;Pajala;Pajala;Pajala;;Pajala;;;;;;;;;x
PROV122;Kolari;Kolari;Kolari;;Kolari;;;;;;;;;x
PROV123;Unari;Unari;Unari;;Unari;;;;;;;;;x
PROV124;Sodankylä;Sodankylä;Sodankylä;;Sodankylä;;;;;;;;;x
PROV125;Tanhua;Tanhua;Tanhua;;Tanhua;;;;;;;;;x
PROV126;Maanselkä;Maanselkä;Maanselkä;;Maanselkä;;;;;;;;;x
PROV127;Njavka;Njavka;Njavka;;Njavka;;;;;;;;;x
PROV128;Apatity;Apatity;Apatity;;Apatity;;;;;;;;;x
PROV129;Berezovka;Berezovka;Berezovka;;Berezovka;;;;;;;;;x
PROV130;Indel';Indel';Indel;;Indel';;;;;;;;;x
PROV131;Kojda;Kojda;Kojda;;Kojda;;;;;;;;;x
PROV132;Ciza;Ciza;Ciza;;Ciza;;;;;;;;;x
PROV133;Ponoj;Ponoj;Ponoj;;Ponoj;;;;;;;;;x
PROV134;Ågskaret;Ågskaret;Ågskaret;;Ågskaret;;;;;;;;;x
PROV135;Storjord;Storjord;Storjord;;Storjord;;;;;;;;;x
PROV136;Västerfjäll;Västerfjäll;Västerfjäll;;Västerfjäll;;;;;;;;;x
PROV137;Tjåmotis;Tjåmotis;Tjåmotis;;Tjåmotis;;;;;;;;;x
